Listing Date,Order Date,SKU,Order Id,Listing Title,Department,Category,Subcategory,Brand,Color,Size,Bundle Order?,Offer Order,NWT,Cost Price,Order Price,Seller Shipping Discount,Upgraded Shipping Label Fee,Net Earnings,Buyer State,Buyer Zip Code,Buyer Username,Sales Tax (Paid by Buyer),Sales Tax (Paid by Seller),Notes,Other Info
02/26/2019,02/26/2019,,5c75d1ebd1c31be1d9f5c73d,Brown UGG boots,Women,Shoes,Winter & Rain Boots,UGG,Brown,8,N,Y,N,,$43.00,$0.00,$0.00,$34.40,WV,25430,heatherlhickey,,,,
02/26/2019,03/04/2019,,5c7e02a49e020c229f1755fe,Athleta skirt NWOT,Women,Skirts,Mini,Athleta,Black,8,N,Y,N,,$27.00,$0.00,$0.00,$21.60,CA,94559,monty_sarah,,,,
02/26/2019,03/06/2019,,5c807c028158b50573a4391e,Calvin Klein Wristlet,Women,Bags,Clutches & Wristlets,Calvin Klein,Black,OS,N,Y,N,,$10.00,$1.80,$0.00,$5.25,NY,14072,fayemv,,,,
02/28/2019,03/17/2019,,5c8e7ba4609fa1488a7f0d5d,NWOT blue vest Little Me brand size 12m,Kids,Jackets & Coats,Vests,Little Me,Blue,12MB,Y,Y,N,,$4.46,$1.21,$0.00,$2.36,MI,49036,gothemgurl,,,,
02/28/2019,03/17/2019,,5c8e7ba4609fa1488a7f0d5d,NWT Carter’s full body onesie footie pajamas,Kids,One Pieces,Footies,Carter's,"Red,Gray",18MB,Y,Y,Y,,$4.46,$1.21,$0.00,$2.36,MI,49036,gothemgurl,,,,
02/28/2019,03/17/2019,,5c8e7ba4609fa1488a7f0d5d,"NWOT Adidas Jacket for baby, 12m, gray",Kids,Jackets & Coats,,adidas,Gray,12MB,Y,Y,N,,$3.57,$0.97,$0.00,$1.89,MI,49036,gothemgurl,,,,
02/28/2019,03/17/2019,,5c8e7ba4609fa1488a7f0d5d,NWT 3 piece set Fierce Frank brand,Kids,Matching Sets,,Fierce Frank,"Gray,Orange",18MB,Y,Y,Y,,$6.70,$1.82,$0.00,$3.54,MI,49036,gothemgurl,,,,
02/28/2019,03/17/2019,,5c8e7ba4609fa1488a7f0d5d,NWT 3 piece dinosaur shirts and pants set 2t,Kids,Matching Sets,,Little Rebels,"Gray,Red",2TB,Y,Y,Y,,$5.81,$1.58,$0.00,$3.06,MI,49036,gothemgurl,,,,
03/14/2019,03/17/2019,,5c8e5977b9f675dbdef007e8,Kate Spade Diaper Bag Totebag Black,Women,Bags,Baby Bags,kate spade,Black,OS,N,Y,N,,$55.00,$0.00,$0.00,$44.00,CT,6424,lesleysloot,,,,
03/15/2019,03/18/2019,,5c90766d04ef50c42cc09793,Breastfeeding/nursing maternity tunic shirt,Women,Tops,,,"Gray,Red",L,Y,Y,N,,$6.00,$1.20,$0.00,$2.83,WA,98312,vanessakelly94,,,,
03/17/2019,03/18/2019,,5c90766d04ef50c42cc09793,Breastfeeding/nursing shirt,Women,Tops,Tees - Long Sleeve,,"Red,Orange",L,Y,Y,N,,$3.00,$0.60,$0.00,$1.42,WA,98312,vanessakelly94,,,,
03/18/2019,03/20/2019,,5c924ae35bbb80929b5dd101,LulaRoe Amelia Dress NWOT,Women,Dresses,,LuLaRoe,"Red,Blue",L,Y,N,N,,$15.00,$0.00,$1.60,$12.00,CA,93950,beckyannelai,,,,
03/01/2019,03/20/2019,,5c924ae35bbb80929b5dd101,Lemon cardigan from Talbots,Women,Sweaters,Cardigans,Talbots,"Yellow,Green",SP,Y,N,N,,$15.00,$0.00,$1.60,$12.00,CA,93950,beckyannelai,,,,
02/26/2019,03/20/2019,,5c924ae35bbb80929b5dd101,Nautica Sweater,Women,Sweaters,Cardigans,Nautica,White,M,Y,N,N,,$15.00,$0.00,$1.60,$12.00,CA,93950,beckyannelai,,,,
03/01/2019,03/20/2019,,5c924ae35bbb80929b5dd101,NWT Maternity Pink Polka Dot Shirt Motherhood,Women,Tops,,Motherhood Maternity,Pink,MM,Y,N,Y,,$10.00,$0.00,$1.60,$8.00,CA,93950,beckyannelai,,,,
03/01/2019,03/20/2019,,5c924ae35bbb80929b5dd101,Talbots floral petite cardigan,Women,Sweaters,Cardigans,Talbots,"White,Pink",SP,Y,N,N,,$15.00,$0.00,$1.60,$12.00,CA,93950,beckyannelai,,,,
03/05/2019,03/20/2019,,5c924ae35bbb80929b5dd101,Green Talbots Sweater,Women,Sweaters,Cardigans,Talbots,Green,MP,Y,N,N,,$15.00,$0.00,$1.60,$12.00,CA,93950,beckyannelai,,,,
03/02/2019,03/20/2019,,5c924ae35bbb80929b5dd101,Talbots cardigan with pockets,Women,Sweaters,Cardigans,Talbots,Green,SP,Y,N,N,,$15.00,$0.00,$1.60,$12.00,CA,93950,beckyannelai,,,,
03/19/2019,03/20/2019,,5c924ae35bbb80929b5dd101,White Abercrombie and Fitch Zip Up Hoodie,Women,Tops,Sweatshirts & Hoodies,Abercrombie & Fitch,"White,Blue",M,Y,N,N,,$20.00,$0.00,$1.60,$16.00,CA,93950,beckyannelai,,,,
02/26/2019,03/20/2019,,5c924ae35bbb80929b5dd101,Talbots black long sleeve shirt NWOT,Women,Tops,Tees - Long Sleeve,Talbots,Black,SP,Y,N,N,,$5.00,$0.00,$1.60,$4.00,CA,93950,beckyannelai,,,,
03/14/2019,03/20/2019,,5c924ae35bbb80929b5dd101,"Purple REI Jacket, weatherproof brand",Women,Jackets & Coats,,Weatherproof,Purple,M,Y,N,N,,$20.00,$0.00,$1.56,$16.00,CA,93950,beckyannelai,,,,
02/27/2019,03/20/2019,,5c928e688869f7c83f2aad9f,Nautica navy fleece vest,Women,Jackets & Coats,Vests,Nautica,Blue,S,Y,Y,N,,$7.00,$0.36,$0.00,$5.24,KS,67206,rariedmiller,,,,
02/26/2019,03/20/2019,,5c928e688869f7c83f2aad9f,Pearl Kate Spade Sweater,Women,Sweaters,Cardigans,kate spade,Cream,S,Y,Y,N,,$21.00,$1.08,$0.00,$15.72,KS,67206,rariedmiller,,,,
03/15/2019,03/20/2019,,5c928e688869f7c83f2aad9f,Ralph Lauren brown long sleeve shirt,Women,Tops,,Ralph Lauren,Brown,M,Y,Y,N,,$7.00,$0.36,$0.00,$5.24,KS,67206,rariedmiller,,,,
02/26/2019,03/20/2019,,5c9309c125457a6e3864442c,Pink fuzzy sweatshirt NWOT,Women,Tops,Sweatshirts & Hoodies,,Pink,M,N,N,N,,$9.00,$0.00,$0.00,$6.05,CA,91355,kars_boutique,,,,
03/17/2019,03/25/2019,,5c9989443f1a0d096a1680b6,Black Pashmina Wool Scarf,Women,Accessories,Scarves & Wraps,,Black,OS,N,N,N,,$8.00,$0.00,$0.00,$5.05,NJ,7458,melbatt,,,,
02/26/2019,03/20/2019,,5c92ece372d0f0bee8dca05c,Abercrombie and Fitch white zip up,Women,Tops,Sweatshirts & Hoodies,Abercrombie & Fitch,White,M,N,N,N,,$10.00,$0.00,$0.00,$7.05,FL,32303,jesslauren16,,,,
02/26/2019,03/22/2019,,5c94fcecd3992a32ef9b3bb4,Uniqlo black fleece jacket,Women,Jackets & Coats,,Uniqlo,Black,S,N,Y,N,,$8.00,$0.00,$0.00,$5.05,CA,94010,taleenk09,,,,
03/18/2019,03/27/2019,,5b9c494ecdc7f7915fe8c1c9,Genuine Leather Jacket Banana Republic,Women,Jackets & Coats,,Banana Republic,"Brown,Green",M,N,Y,N,,$13.00,$1.80,$0.00,$8.25,NV,89146,dynastysrockx,,,,
03/17/2019,03/26/2019,,5c9a5cf11b4e23c326c5a25d,Curvy Skinny Jeans Size 12 Short,Women,Jeans,Skinny,Universal Thread,Blue,12,Y,Y,N,,$6.67,$0.00,$0.00,$4.70,TN,37130,sebowe,,,,
03/17/2019,03/26/2019,,5c9a5cf11b4e23c326c5a25d,Nursing/breastfeeding shirt,Women,Tops,Tees - Long Sleeve,,"Gray,Red",M,Y,Y,N,,$3.33,$0.00,$0.00,$2.35,TN,37130,sebowe,,,,
03/01/2019,03/25/2019,,5c9953307cc16919f89865e4,Abercrombie & Fitch Leather and Woven Belts,Women,Accessories,Belts,Abercrombie & Fitch,"Brown,White",OS,N,Y,N,,$12.00,$0.00,$0.00,$9.05,FL,33616,nicoleadair999,,,,
03/18/2019,03/31/2019,,5ca1963ecdbd490f82979170,Vintage Cortefiel Trench Coat,Women,Jackets & Coats,Trench Coats,Cortefiel,Tan,44,N,N,N,,$5.00,$0.00,$0.00,$2.05,NY,10016,spikebrown,,,,
02/26/2019,03/30/2019,,5c9f9d700521f8aa7683f9f5,Polo t-shirt NWOT,Women,Tops,Tees - Short Sleeve,Polo by Ralph Lauren,Pink,M,N,Y,N,,$4.00,$0.00,$0.00,$1.05,TX,77007,shoppcasini,,,,
02/26/2019,03/29/2019,,5c9e362880afe16bf7dd9b35,Blue Nordstrom cardigan,Women,Sweaters,Cardigans,Halogen,Blue,M,N,Y,N,,$10.00,$1.80,$0.00,$5.25,CA,92399,lisafrainee,,,,
03/30/2019,04/05/2019,,5ca7c9b248db1bbb5d52e7d3,NWOT Nordstrom Bolero Shrug,Women,Sweaters,,Eliza J,Red,M,N,Y,N,,$10.00,$0.00,$0.00,$7.05,TX,78597,amperfand,$1.39,$0.00,,
04/06/2019,04/06/2019,,5ca84334f32a0882fb567be8,Coach Wristlet,Women,Bags,Clutches & Wristlets,Coach,Black,OS,N,Y,N,,$16.00,$0.00,$0.00,$12.80,CA,92626,sharonbriggs357,$1.24,$0.00,,
04/08/2019,04/08/2019,,5cabfae660ff85f7bcaa5ed4,I’m Moving and I Have Too Many Purses Mystery Box,Women,Bags,,Mystery Box,,OS,N,Y,N,,$15.00,$1.80,$0.00,$10.20,AZ,85704,sweet_p01,$1.30,$0.00,,
04/04/2019,04/05/2019,,5ca821815b565f9e09aa6883,Nordstrom Faux Leather Skirt,Women,Skirts,Midi,one clothing,Black,L,N,Y,N,,$15.00,$1.80,$0.00,$10.20,AZ,86305,jessicacook1031,$1.36,$0.00,,
04/10/2019,04/10/2019,,5cae0409e37753851144c170,Discounted 2nd Mystery Box,Women,Bags,,,,OS,Y,Y,N,,$15.00,$0.00,$0.00,$12.00,CA,93960,phernandez69,$1.32,$0.00,,
04/10/2019,04/10/2019,,5cae0409e37753851144c170,I’m Moving and I Have Too Many Purses Mystery Box,Women,Bags,,Mystery Box,,OS,Y,Y,N,,$15.00,$0.00,$0.00,$12.00,CA,93960,phernandez69,$1.32,$0.00,,
04/05/2019,04/10/2019,,5b86cc4c9264af14a4f3355b,NWT Anthropologie Skirt,Women,Skirts,Midi,Anthropologie,"Black,Yellow",XL,N,Y,Y,,$35.00,$0.00,$0.00,$28.00,RI,2818,lizpauley,$0.00,$0.00,This sale is exempt from sales tax.,
04/12/2019,04/12/2019,,5cb13b2c6ce3cc9667ad35c5,I’m Moving and I Have Too Many Purses Mystery Box,Women,Bags,,Mystery Box,,OS,N,Y,N,,$18.00,$0.00,$0.00,$14.40,CO,80003,sobeitjka,$1.34,$0.00,,
03/01/2019,04/13/2019,,5cb26f38a1f56f6c19704477,Set of 2 shrugs size small,Women,Sweaters,,Mossimo Supply Co.,"White,Black",S,N,N,N,,$8.00,$0.00,$0.00,$5.05,GA,30019,nu52808,$0.89,$0.00,,
04/06/2019,04/11/2019,,5caf81df60ff85b4b6f1117e,Vintage Trench Coat,Women,Jackets & Coats,Trench Coats,Vintage,Black,22W,N,N,N,,$3.00,$0.00,$0.00,$0.05,SC,29732,lilabardkw,$0.69,$0.00,,
03/25/2019,04/13/2019,,5cb27a2f574bd5b14514b477,REI Paisley Skirt,Women,Skirts,Midi,REI,"Blue,Green",S,Y,Y,N,,$10.91,$0.00,$0.00,$8.73,CA,94303,rodrimo98,$0.98,$0.00,,
04/06/2019,04/13/2019,,5cb27a2f574bd5b14514b477,Patagonia Black Skirt,Women,Skirts,Midi,Patagonia,Black,S,Y,Y,N,,$14.55,$0.00,$0.00,$11.64,CA,94303,rodrimo98,$1.31,$0.00,,
03/25/2019,04/13/2019,,5cb27a2f574bd5b14514b477,REI Floral Skirt,Women,Skirts,Midi,REI,"Black,Green",S,Y,Y,N,,$14.54,$0.00,$0.00,$11.63,CA,94303,rodrimo98,$1.31,$0.00,,
03/01/2019,04/15/2019,,5cb5055eb81fca4a9698ec34,Jessica Simpson Maternity striped tunic shirt,Women,Tops,Tunics,Jessica Simpson,"Blue,Pink",MM,N,Y,N,,$10.00,$1.80,$0.00,$5.25,MI,48111,laur87urfav,$0.90,$0.00,,
04/12/2019,04/12/2019,,5cb117a37fc2a65d553e4173,I’m Moving and I Have Too Many Purses Mystery Box,Women,Bags,,Mystery Box,,OS,N,Y,N,,$15.00,$0.00,$0.00,$12.00,MO,64862,killer_kell80,$0.63,$0.00,,
04/18/2019,04/18/2019,,5cb8d33e95676ba36905cf84,I’m Moving and I Have Too Many Purses Mystery Box,Women,Bags,,Mystery Box,,OS,Y,Y,N,,$16.00,$1.44,$0.00,$11.36,ME,4038,mdesro70,$0.88,$0.00,,
04/06/2019,04/18/2019,,5cb8d33e95676ba36905cf84,*FREE with purchase* Nike Therma-fit Sweatshirt,Women,Tops,Sweatshirts & Hoodies,Nike,"Orange,Black",L,Y,Y,N,,$4.00,$0.36,$0.00,$2.84,ME,4038,mdesro70,$0.22,$0.00,,
02/26/2019,04/18/2019,,5cb8e852f2658b9998f3d929,Green Army Jacket,Women,Jackets & Coats,Blazers,YMI,Green,M,Y,Y,N,,$11.49,$0.00,$0.00,$9.19,MN,55379,konabo,$0.00,$0.00,This sale is exempt from sales tax.,
04/11/2019,04/18/2019,,5cb8e852f2658b9998f3d929,NWT Nike Train Like a Girl Muscles Tank Tee,Women,Tops,Muscle Tees,Nike,"Blue,Red",M,Y,Y,Y,,$16.85,$0.00,$0.00,$13.48,MN,55379,konabo,$0.00,$0.00,This sale is exempt from sales tax.,
03/01/2019,04/18/2019,,5cb8e852f2658b9998f3d929,NWOT Red Nautica fleece vest,Women,Jackets & Coats,Vests,Nautica,Red,S,Y,Y,N,,$7.66,$0.00,$0.00,$6.13,MN,55379,konabo,$0.00,$0.00,This sale is exempt from sales tax.,
